Country,ExchangeRateAtPPP,Exports,HouseholdExpenditures,Imports,ImprovedSanitation,ImprovedWater,Population,Population15To64,PopulationGrowth,TotalInvestment,Unemployment,Urban,AgeDependencyRatioOld,CellphoneSubscriptions,GovernmentRevenues,GovernmentSpending,HealthExpenditure,IndustrialProduction,InternetUsers
Saudi Arabia,0.000203,0.171101,0.040095,0.056774,0.684665,0.956076,0.022032,0.546099,0.307326,0.427384,0.171312,0.802906,0.093430,0.733225,0.080668,0.052935,0.037834,0.089533,0.630208
Senegal,0.019961,0.001115,0.001901,0.002336,0.471429,0.620791,0.010369,0.163383,0.405328,0.403399,0.288733,0.356572,0.126905,0.374678,0.001268,0.001258,0.000039,0.000674,0.217708
Serbia,0.003278,0.005000,0.004848,0.006927,0.970330,0.988287,0.005284,0.581823,0.080875,0.207743,0.693406,0.512670,0.503622,0.488201,0.006380,0.005871,0.003147,0.050915,0.536458
Seychelles,0.000488,0.000150,0.027314,0.000361,0.684665,0.813761,0.000059,0.425708,0.220742,0.583569,0.092794,0.482036,0.289731,0.608117,0.000170,0.000137,0.019627,0.050915,0.525000
Sierra Leone,0.163200,0.000018,0.000521,0.000117,0.043956,0.415813,0.004475,0.223010,0.306375,0.176959,0.288733,0.320194,0.106920,0.165308,0.000251,0.000236,0.000009,0.050915,0.017708
Singapore,0.000061,0.179907,0.007760,0.138575,1.000000,1.000000,0.003961,0.695035,0.281637,0.392446,0.044188,1.000000,0.332501,0.643556,0.015346,0.008552,0.305218,0.018620,0.760417
Slovak Republic,0.000022,0.037639,0.006246,0.029723,0.996703,1.000000,0.003968,0.648542,0.138915,0.242871,0.461251,0.490145,0.437422,0.464690,0.008583,0.007505,0.410023,0.008602,0.811250
Slovenia,0.000028,0.011930,0.002630,0.010347,1.000000,0.994143,0.001507,0.556344,0.142721,0.220397,0.323929,0.435747,0.616538,0.448816,0.004735,0.005096,0.443067,0.003483,0.757083
Solomon Islands,0.000287,0.000216,0.000010,0.000168,0.217582,0.714495,0.000404,0.240872,0.326356,0.217186,0.288733,0.109359,0.136398,0.222971,0.000188,0.000152,0.006861,0.050915,0.083333
Somalia,0.030980,0.037409,0.027314,0.029448,0.160440,0.000000,0.028224,0.070659,0.399619,0.341150,0.288733,0.304314,0.128654,0.187833,0.012805,0.011522,0.000003,0.050915,0.015625
South Africa,0.000401,0.041947,0.033820,0.037073,0.718681,0.928258,0.038927,0.464670,0.254995,0.262512,0.820530,0.576867,0.200350,0.608632,0.033405,0.030958,0.019458,0.026553,0.509375
South Korea,0.059243,0.246529,0.071403,0.188155,1.000000,0.967789,0.036899,0.673759,0.168411,0.393768,0.085656,0.813830,0.404197,0.452205,0.076372,0.059042,0.000324,0.108320,0.883021
South Sudan,0.000186,0.037409,0.027314,0.029448,0.684665,0.813761,0.007988,0.425708,0.521408,0.108782,0.288733,0.079288,0.289731,0.418529,0.000562,0.000624,0.045240,0.050915,0.423198
Spain,0.000037,0.136987,0.070685,0.121257,1.000000,1.000000,0.034246,0.514841,0.104662,0.241549,0.876275,0.747381,0.650762,0.434658,0.102324,0.098337,0.481027,0.080190,0.745521
Sri Lanka,0.004631,0.004128,0.011061,0.006515,0.915385,0.909224,0.015293,0.500657,0.199810,0.513692,0.115568,0.045050,0.307020,0.385704,0.003353,0.003951,0.000337,0.004353,0.228125
Sudan,0.000240,0.037409,0.006329,0.029448,0.160440,0.348463,0.025258,0.217757,0.322550,0.274410,0.306594,0.249803,0.133150,0.288528,0.001720,0.001702,0.005119,0.050915,0.236458
Suriname,0.000154,0.001088,0.000429,0.000588,0.783516,0.929722,0.000397,0.490938,0.211227,0.341150,0.268525,0.663476,0.239321,0.522224,0.000333,0.000336,0.025172,0.050915,0.389583
Swaziland,0.000362,0.000489,0.000352,0.000453,0.532967,0.620791,0.000794,0.299448,0.269267,0.085364,0.288733,0.113076,0.136148,0.282607,0.000490,0.000396,0.009784,0.050915,0.257292
Sweden,0.000659,0.073833,0.017350,0.058256,1.000000,1.000000,0.007070,0.432624,0.200761,0.244381,0.251530,0.835117,0.744691,0.509696,0.039940,0.032833,0.051039,0.028975,0.987292
Switzerland,0.000102,0.037409,0.019302,0.029448,1.000000,1.000000,0.005872,0.531390,0.227402,0.294618,0.087016,0.704696,0.642518,0.550026,0.023991,0.019363,0.419647,0.036360,0.903125
Syria,0.001298,0.005000,0.004553,0.006398,0.952747,0.855051,0.013595,0.352246,0.314938,0.230406,0.397349,0.509629,0.154384,0.216106,0.003742,0.003486,0.001237,0.000926,0.272917
Tajikistan,0.000139,0.000304,0.001985,0.000223,0.938462,0.585652,0.005967,0.358287,0.360609,0.191501,0.288733,0.173443,0.117912,0.369959,0.001007,0.000813,0.006855,0.050915,0.166667
Tanzania,0.048324,0.001943,0.003898,0.004562,0.035165,0.314788,0.034003,0.122406,0.415794,0.542587,0.288733,0.180200,0.141394,0.215033,0.003264,0.003326,0.000017,0.050915,0.045833
Thailand,0.001286,0.101119,0.044457,0.090348,0.927473,0.938507,0.050134,0.652745,0.159848,0.449292,0.004079,0.262192,0.323507,0.567959,0.031371,0.025524,0.002453,0.033850,0.301458
The Bahamas,0.000036,0.000366,0.000413,0.001321,0.912088,0.976574,0.000257,0.622275,0.265461,0.586025,0.529572,0.824868,0.258306,0.302257,0.000264,0.000427,0.364587,0.050915,0.750000
Timor-Leste,0.000000,0.000018,0.027314,0.000026,0.328571,0.568082,0.000867,0.095876,0.367269,0.341150,0.288733,0.197320,0.148639,0.222155,0.003244,0.000655,0.037446,0.050915,0.011458
Togo,0.021496,0.000441,0.000552,0.000719,0.025275,0.414348,0.005005,0.213029,0.373930,0.251369,0.288733,0.307467,0.111916,0.244251,0.000297,0.000301,0.000028,0.050915,0.046875
Tonga,0.000056,0.000009,0.000008,0.000062,0.904396,0.989751,0.000066,0.252955,0.161751,0.547686,0.288733,0.139092,0.245566,0.210185,0.000000,0.000000,0.030309,0.050915,0.364583
Trinidad and Tobago,0.000462,0.004837,0.001805,0.002354,0.913187,0.906296,0.000977,0.601786,0.154139,0.161095,0.149558,0.031197,0.309018,0.597820,0.001732,0.001495,0.025111,0.002574,0.664583
Tunisia,0.000035,0.007863,0.005908,0.008730,0.894505,0.953148,0.008018,0.586551,0.223597,0.336355,0.547247,0.623043,0.245066,0.471941,0.006270,0.006161,0.108530,0.003213,0.456250
Turkey,0.000081,0.066903,0.075319,0.091833,0.903297,0.995608,0.056197,0.516942,0.247383,0.304249,0.310333,0.688366,0.262803,0.374807,0.082041,0.069013,0.095826,0.051821,0.481771
Turkmenistan,0.000140,0.001106,0.000348,0.000642,0.990110,0.576867,0.004182,0.529288,0.250238,0.341150,0.288733,0.426399,0.138896,0.477476,0.001728,0.001395,0.011044,0.050915,0.100000
Tuvalu,0.000056,0.000000,0.027314,0.000000,0.816484,0.966325,0.000000,0.425708,0.142721,0.341150,0.288733,0.447911,0.289731,0.123691,0.000000,0.000000,0.048814,0.050915,0.385417
